	neuroNER_ID	neuroNER_Name
3312	UNKN_REGION:1488	ventriculus tertius
3313	UNKN_REGION:1489	nucleus centralis lateralis
3314	UNKN_REGION:149	tuberculum anterius thalamicum
3315	UNKN_REGION:1490	nuclei cochleares - not otherwise specified
3316	UNKN_REGION:1491	nucleus acustici accessorici
3317	UNKN_REGION:1492	inferior precentral sulcus
3318	UNKN_REGION:1493	superior occipital gyrus
3319	UNKN_REGION:1494	median eminence internal lamina
3320	UNKN_REGION:1495	eupalaeocortex
3321	UNKN_REGION:1496	nucleus retroambigualis
3322	UNKN_REGION:1497	parvicellular part of medial dorsal nucleus
3323	UNKN_REGION:1498	fasciculus longitudinalis medialis
3324	UNKN_REGION:1499	densocellular part of medial dorsal nucleus
3325	UNKN_REGION:15	lateral
3326	UNKN_REGION:150	nucleus paracentralis thalami
3327	UNKN_REGION:1500	thalamus
3328	UNKN_REGION:1501	lobules iv, v of vermis
3329	UNKN_REGION:1502	nucleus of the solitary tract, interstitial part
3330	UNKN_REGION:1503	tractus spinocerebellaris ventralis
3331	UNKN_REGION:1504	frontal lobe eye field
3332	UNKN_REGION:1505	nucleus subhabenularis
3333	UNKN_REGION:1506	oculomotor sulcus
3334	UNKN_REGION:1507	nucleus ventro-oralis posterior
3335	UNKN_REGION:1508	eminentia mediana anterior
3336	UNKN_REGION:1509	nucleus lateralis dorsalis of thalamus
3337	UNKN_REGION:151	ventral posterolateral nucleus of the thalamus parvicellular part
3338	UNKN_REGION:1510	bed nuclei of the stria terminalis anterolateral area
3339	UNKN_REGION:1511	isthmus rhombencephali
3340	UNKN_REGION:1512	tectum mesencephali
3341	UNKN_REGION:1513	recessus infundibularis
3342	UNKN_REGION:1514	paraventricular nucleus of the hypothalamus, magnocellular division
3343	UNKN_REGION:1515	area 8 delta of the vogts
3344	UNKN_REGION:1516	fasciculus mamillo-thalamicus
3345	UNKN_REGION:1517	posterior hypothalamus
3346	UNKN_REGION:1518	mesencephalic tract of trigeminal nerve
3347	UNKN_REGION:1519	nucleus of field h
3348	UNKN_REGION:152	ventral part of ventral lateral posterior nucleus
3349	UNKN_REGION:1520	pars ventralis pontis
3350	UNKN_REGION:1521	pyramus sublobule b
3351	UNKN_REGION:1522	posterior lobe-1 of cerebellum
3352	UNKN_REGION:1523	paralaminar part of medial dorsal nucleus
3353	UNKN_REGION:1524	parasubiculum layer 3
3354	UNKN_REGION:1525	field ca3 stratum lacunosum-moleculare
3355	UNKN_REGION:1526	quintothalamic tract
3356	UNKN_REGION:1527	intermediate orbital gyrus
3357	UNKN_REGION:1528	corticomedial nuclear group
3358	UNKN_REGION:1529	lemniscal system
3359	UNKN_REGION:153	lamina ganglionaris
3360	UNKN_REGION:1530	nucleus campi foreli
3361	UNKN_REGION:1531	anterior interpositus nucleus
3362	UNKN_REGION:1532	nucleus lateralis dorsalis
3363	UNKN_REGION:1533	posterior parietal association areas
3364	UNKN_REGION:1534	pars corticomedialis
3365	UNKN_REGION:1535	tela choroidea
3366	UNKN_REGION:1536	ventral posterior lateral nucleus, anterior division
3367	UNKN_REGION:1537	subiculum, dorsal part, molecular layer
3368	UNKN_REGION:1538	central lobe of the cerebellum, lobule 7
3369	UNKN_REGION:1539	calloso-marginal sulcus
3370	UNKN_REGION:154	velum medullare posterius
3371	UNKN_REGION:1540	tegmental area h
3372	UNKN_REGION:1541	anterior lobe of hypophysis
3373	UNKN_REGION:1542	nervus opticus
3374	UNKN_REGION:1543	periaqueductal gray, dorsolateral division
3375	UNKN_REGION:1544	ventral claustrum
3376	UNKN_REGION:1545	superior central nucleus raphé, medial part
3377	UNKN_REGION:1546	nucleus olivaris accessorius medialis
3378	UNKN_REGION:1547	lateral tegmental nucleus
3379	UNKN_REGION:1548	visual cortex, anterolateral part
3380	UNKN_REGION:1549	temporal corticopontine tract
3381	UNKN_REGION:155	cauda
3382	UNKN_REGION:1550	paraventricular nucleus of the hypothalamus, magnocellular division, anterior magnocellular part
3383	UNKN_REGION:1551	area 4 of brodmann
3384	UNKN_REGION:1552	striae acusticae ventralis
3385	UNKN_REGION:1553	dg internal feature 2
3386	UNKN_REGION:1554	nucleus pulvinaris lateralis
3387	UNKN_REGION:1555	cauda
3388	UNKN_REGION:1556	nucleus pulvinaris oroventralis
3389	UNKN_REGION:1557	parieto-occipital cortex
3390	UNKN_REGION:1558	ventral tenia tecta
3391	UNKN_REGION:1559	nucleus tuberomamillaris
3392	UNKN_REGION:156	anterior transverse temporal area 41
3393	UNKN_REGION:1560	bed nuclei of the stria terminalis anterior division anterodorsal area
3394	UNKN_REGION:1561	bed nuclei of the stria terminalis anterior division anterodorsal area proper
3395	UNKN_REGION:1562	nucleus lateralis intermedius mediodorsalis situs ventralis medialis
3396	UNKN_REGION:1563	nucleus paramedianus accessorius
3397	UNKN_REGION:1564	nucleus of staderini
3398	UNKN_REGION:1565	nucleus lacrimalis
3399	UNKN_REGION:1566	pericentral nucleus of inferior colliculus
3400	UNKN_REGION:1567	recesses of third ventricle
3401	UNKN_REGION:1568	area 19
3402	UNKN_REGION:1569	pallidosubthalamic tract
3403	UNKN_REGION:157	ganglia basales
3404	UNKN_REGION:1570	neurofibrae associationes
3405	UNKN_REGION:1571	laterodorsal nucleus of the thalamus, dorsomedial part
3406	UNKN_REGION:1572	commissure of meynert
3407	UNKN_REGION:1573	stratum profundum tecti
3408	UNKN_REGION:1574	nucleus pulvinaris medialis
3409	UNKN_REGION:1575	peripheral nervous system
3410	UNKN_REGION:1576	nucleus lateralis corpus mamillaris
3411	UNKN_REGION:1577	substantia medullaris cingulatus
3412	UNKN_REGION:1578	angular sulcus
3413	UNKN_REGION:1579	purkinje cell layer
3414	UNKN_REGION:158	lateral spinal nucleus
3415	UNKN_REGION:1580	area temporalis media
3416	UNKN_REGION:1581	pallidum dorsal region
3417	UNKN_REGION:1582	dorsal nucleus of the spinal cord
3418	UNKN_REGION:1583	gyrus longus insulae
3419	UNKN_REGION:1584	lamina plexiformis
3420	UNKN_REGION:1585	taenia tecta ventral part
3421	UNKN_REGION:1586	preoccipital gyrus
3422	UNKN_REGION:1587	tractus corticotectalis
3423	UNKN_REGION:1588	inferior temporal sulcus
3424	UNKN_REGION:1589	intermediate white layer
3425	UNKN_REGION:159	lateral septal nucleus, rostral part, medial zone
3426	UNKN_REGION:1590	internal sagittal stratum
3427	UNKN_REGION:1591	part of folium-tuber vermis
3428	UNKN_REGION:1592	adhesio interthalamica
3429	UNKN_REGION:1593	lateral orbital gyrus
3430	UNKN_REGION:1594	medial lemniscus of medulla
3431	UNKN_REGION:1595	nucleus facialis
3432	UNKN_REGION:1596	gyrus frontopolaris transversus
3433	UNKN_REGION:1597	parabrachial nucleus lateral division dorsal lateral part
3434	UNKN_REGION:1598	nucleus ventralis anterior, pars magnocellularis
3435	UNKN_REGION:1599	lobulus posterior superior
3436	UNKN_REGION:16	visceral
3437	UNKN_REGION:160	ventromedial nucleus of the hypothalamus central part
3438	UNKN_REGION:1600	paralaminar part of dorsomedial nucleus
3439	UNKN_REGION:1601	inferior peduncle
3440	UNKN_REGION:1602	anterior laterolateral visual area
3441	UNKN_REGION:1603	rhinencephalon
3442	UNKN_REGION:1604	dentate gyrus lateral blade, molecular layer
3443	UNKN_REGION:1605	reticular nuclei
3444	UNKN_REGION:1606	anterior thalamic nuclei
3445	UNKN_REGION:1607	rostral medullary velum
3446	UNKN_REGION:1608	tractus pallido-hypothalamicus
3447	UNKN_REGION:1609	mammillary level of hypothalamus
3448	UNKN_REGION:161	central amygdaloid nucleus, medial division, anterodorsal part
3449	UNKN_REGION:1610	frontoparietal operculum
3450	UNKN_REGION:1611	area parainsularis
3451	UNKN_REGION:1612	intralaminar nuclei
3452	UNKN_REGION:1613	metathalamus
3453	UNKN_REGION:1614	substantia medullaris frontalis superior
3454	UNKN_REGION:1615	optic tectum
3455	UNKN_REGION:1616	paralimbic brain
3456	UNKN_REGION:1617	anterior cerebellar incisure
3457	UNKN_REGION:1618	nucleus pulvinaris medialis dorsalis
3458	UNKN_REGION:1619	superior colliculus, intermediate gray layer, sublayer c
3459	UNKN_REGION:162	visual-auditory cortex
3460	UNKN_REGION:1620	incisura
3461	UNKN_REGION:1621	nucleus limitans thalami
3462	UNKN_REGION:1622	habenular sulcus
3463	UNKN_REGION:1623	forel's field h1
3464	UNKN_REGION:1624	pulvinar
3465	UNKN_REGION:1625	anterior subcentral dimple
3466	UNKN_REGION:1626	ventrolateral subnucleus of solitary tract
3467	UNKN_REGION:1627	dorsal raphe nucleus, interfascicular part
3468	UNKN_REGION:1628	sulcus occipitalis lateralis
3469	UNKN_REGION:1629	parabrachial nucleus, lateral ventral part
3470	UNKN_REGION:163	nucleus of the horizontal limb of the diagonal band
3471	UNKN_REGION:1630	primary somatosensory cortex, upper lip region
3472	UNKN_REGION:1631	pituitary gland, anterior lobe
3473	UNKN_REGION:1632	sulcus occipitalis transversus
3474	UNKN_REGION:1633	intermediomedial cell column
3475	UNKN_REGION:1634	midbrain-hindbrain, motor, extrapyramidal
3476	UNKN_REGION:1635	genu corporis callosi
3477	UNKN_REGION:1636	pallidal channel of motor nucleus
3478	UNKN_REGION:1637	lateral geniculate nucleus, ventromedial part
3479	UNKN_REGION:1638	anterior hypothalamic commissure
3480	UNKN_REGION:1639	lateral septal nucleus rostral  part ventrolateral zone dorsal region lateral domain
3481	UNKN_REGION:164	ventrolateral division of lateral nucleus of amygdala
3482	UNKN_REGION:1640	funiculus separans
3483	UNKN_REGION:1641	area tegmentalis ventralis
3484	UNKN_REGION:1642	nucleus lateralis thalami dorsalis
3485	UNKN_REGION:1643	ventral lateral nucleus of thalamus
3486	UNKN_REGION:1644	paravermal zone of cerebellum
3487	UNKN_REGION:1645	midbrain-hindbrain, sensory, gustatory-visceral
3488	UNKN_REGION:1646	pars thalamolentiformis
3489	UNKN_REGION:1647	nerve xi
3490	UNKN_REGION:1648	anterior parieto-occipital sulcus
3491	UNKN_REGION:1649	acoustic area
3492	UNKN_REGION:165	fissura cerebrocerebellaris
3493	UNKN_REGION:1650	thalamostriate tract
3494	UNKN_REGION:1651	ventrolateral thalamic nucleus
3495	UNKN_REGION:1652	perihypoglossal nuclei
3496	UNKN_REGION:1653	nucleus olivaris inferior, lamina medialis
3497	UNKN_REGION:1654	intermediate precentral cortex
3498	UNKN_REGION:1655	tractus spino-thalamicus
3499	UNKN_REGION:1656	parietopontine fibers
3500	UNKN_REGION:1657	supraoptic commissure
3501	UNKN_REGION:1658	istmus
3502	UNKN_REGION:1659	fasciculus pyramidalis
3503	UNKN_REGION:166	nucleus magnocellularis tractus optici
3504	UNKN_REGION:1660	geniculate group, dorsal thalamus
3505	UNKN_REGION:1661	polymorphic layer of hippocampus
3506	UNKN_REGION:1662	orbital sulcus
3507	UNKN_REGION:1663	bed nuclei of the stria terminalis, anterior division, anterolateral area
3508	UNKN_REGION:1664	globus pallidus internus
3509	UNKN_REGION:1665	agranular insular cortex, ventral part
3510	UNKN_REGION:1666	bed nucleus of the stria terminalis, medial division, anterior part
3511	UNKN_REGION:1667	nucleus substantiae grisea ventralis
3512	UNKN_REGION:1668	dorsal periolivary region
3513	UNKN_REGION:1669	field ca1
3514	UNKN_REGION:167	falciform lobe
3515	UNKN_REGION:1670	lateral group of the dorsal thalamus
3516	UNKN_REGION:1671	tractus olfactorius lateralis
3517	UNKN_REGION:1672	tela choroidea ventriculi lateralis
3518	UNKN_REGION:1673	area anterior amygdalae
3519	UNKN_REGION:1674	dentate gyrus crest granule cell  layer
3520	UNKN_REGION:1675	medial amygdalar nucleus, posterodorsal part, sublayer c
3521	UNKN_REGION:1676	broca's diagonal gyrus
3522	UNKN_REGION:1677	lobule i of larsell
3523	UNKN_REGION:1678	insula terminalis subcaudata
3524	UNKN_REGION:1679	dorsal tegmental nucleus, pericentral part
3525	UNKN_REGION:168	frontal region
3526	UNKN_REGION:1680	tuberohypophyseal tract
3527	UNKN_REGION:1681	sublenticular stria
3528	UNKN_REGION:1682	inferior olivary complex, principal olive
3529	UNKN_REGION:1683	nucleus of basal optic root
3530	UNKN_REGION:1684	bed nuclei of the stria terminalis anterior division fusiform nucleus
3531	UNKN_REGION:1685	somatic sensory ii
3532	UNKN_REGION:1686	bed nuclei stria terminalis, posterior division, dorsal nucleus
3533	UNKN_REGION:1687	culmen of cerebellum
3534	UNKN_REGION:1688	substantia medullaris myelencephali
3535	UNKN_REGION:1689	first short gyrus
3536	UNKN_REGION:169	cortical amygdalar nucleus, posterior part, medial zone
3537	UNKN_REGION:1690	posterior cerebellar incisure
3538	UNKN_REGION:1691	middle temporal sulcus
3539	UNKN_REGION:1692	parainsular area 52
3540	UNKN_REGION:1693	ventral auditory area
3541	UNKN_REGION:1694	subiculum, ventral part, stratum radiatum
3542	UNKN_REGION:1695	middle lobe of ingvar
3543	UNKN_REGION:1696	paracentral sulcus
3544	UNKN_REGION:1697	nucleus lemnisci lateralis ventralis
3545	UNKN_REGION:1698	inferior parietal lobule
3546	UNKN_REGION:1699	spinal nucleus of the trigeminal, oral part, middle dorsomedial part, dorsal zone
3547	UNKN_REGION:17	ventrolateral
3548	UNKN_REGION:170	anterior olfactory nucleus dorsal part pyramidal layer
3549	UNKN_REGION:1700	gyrus cinguli
3550	UNKN_REGION:1701	lateral septal nucleus rostral  part medial zone ventral region rostral domain
3551	UNKN_REGION:1702	polus frontalis
3552	UNKN_REGION:1703	ventral anterior thalamic nucleus
3553	UNKN_REGION:1704	fissura praecentralis
3554	UNKN_REGION:1705	paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part
3555	UNKN_REGION:1706	anterior pretectal nucleus
3556	UNKN_REGION:1707	hypothalamus
3557	UNKN_REGION:1708	supraoptic region of hypothalamus
3558	UNKN_REGION:1709	medial  transverse frontopolar gyrus
3559	UNKN_REGION:171	ventral gray commissure of cord
3560	UNKN_REGION:1710	laminae medullares thalami
3561	UNKN_REGION:1711	folium-tuber vermis
3562	UNKN_REGION:1712	fimbria  hippocampi
3563	UNKN_REGION:1713	peduncle of substantia nigra
3564	UNKN_REGION:1714	sulcus postpontinus
3565	UNKN_REGION:1715	medial pes lemniscus
3566	UNKN_REGION:1716	nucleus mesencephalicus nervi trigemini
3567	UNKN_REGION:1717	deep tegmental gray
3568	UNKN_REGION:1718	white matter of cerebrum
3569	UNKN_REGION:1719	fissura ventrolateralis mesencephali
3570	UNKN_REGION:172	inferior olive, subnucleus a of medial nucleus
3571	UNKN_REGION:1720	spitzka's nucleus
3572	UNKN_REGION:1721	stratum griseum superficiale
3573	UNKN_REGION:1722	cerebral aqueduct of sylvius
3574	UNKN_REGION:1723	dorsolateral fasciculus of medulla
3575	UNKN_REGION:1724	nucleus cornucommissuralis anterior
3576	UNKN_REGION:1725	tuberal nucleus, lateral part
3577	UNKN_REGION:1726	secondary auditory cortex, dorsal area
3578	UNKN_REGION:1727	gelatinous layer of the caudal spinal trigeminal nucleus
3579	UNKN_REGION:1728	nucleus olivaris inferior medialis
3580	UNKN_REGION:1729	thoracic segments
3581	UNKN_REGION:173	intermediomedial nucleus
3582	UNKN_REGION:1730	primary somatosensory cortex, shoulder region
3583	UNKN_REGION:1731	formatio reticularis
3584	UNKN_REGION:1732	crus i
3585	UNKN_REGION:1733	velum medullare superius
3586	UNKN_REGION:1734	anterior median eminence
3587	UNKN_REGION:1735	ventral anterior nucleus of thalamus
3588	UNKN_REGION:1736	bed nuclei of the stria terminalis, anterior division, subcommisural zone
3589	UNKN_REGION:1737	nucleus interanteroventralis
3590	UNKN_REGION:1738	glomus of chorioid plexus
3591	UNKN_REGION:1739	superior temporal area 22
3592	UNKN_REGION:174	rostral interstitial nucleus of medial longitudinal fasciculus
3593	UNKN_REGION:1740	decussatio lemnisci medialis
3594	UNKN_REGION:1741	gustatory gray
3595	UNKN_REGION:1742	nuclei posteriores thalami
3596	UNKN_REGION:1743	dorsomedial nuclear group
3597	UNKN_REGION:1744	intraculminate fissure 1
3598	UNKN_REGION:1745	spinal nucleus of the trigeminal, oral part, caudal dorsomedial part
3599	UNKN_REGION:1746	dorsal horn of the spinal cord
3600	UNKN_REGION:1747	transverse parietal sulcus
3601	UNKN_REGION:1748	parabrachial nucleus lateral division superior lateral part
3602	UNKN_REGION:1749	nucleus of circumolivary bundle
3603	UNKN_REGION:175	nucleus ventrooralis anterior
3604	UNKN_REGION:1750	tractus tegmentalis centralis
3605	UNKN_REGION:1751	pallidotegmental tract of jakob
3606	UNKN_REGION:1752	neural fold
3607	UNKN_REGION:1753	eminentia medialis
3608	UNKN_REGION:1754	pedunculus cerebellaris superior
3609	UNKN_REGION:1755	prerubral tegmental nucleus
3610	UNKN_REGION:1756	vestibular cortex
3611	UNKN_REGION:1757	parabrachial nucleus, ventral lateral part
3612	UNKN_REGION:1758	insular lobe
3613	UNKN_REGION:1759	dentate gyrus, medial blade-molecular layer
3614	UNKN_REGION:176	perireunensis nucleus
3615	UNKN_REGION:1760	specific sensory relay nuclei
3616	UNKN_REGION:1761	anterior tubercle of thalamus
3617	UNKN_REGION:1762	broca's speech area
3618	UNKN_REGION:1763	annectant gyrus
3619	UNKN_REGION:1764	nucleus of pretectal area
3620	UNKN_REGION:1765	fornix dorsalis
3621	UNKN_REGION:1766	superior colliculus, motor related, intermediate gray layer, sublayer b
3622	UNKN_REGION:1767	anterior semilunar lobule
3623	UNKN_REGION:1768	apertura mediana ventriculi quarti
3624	UNKN_REGION:1769	brodmann's areas
3625	UNKN_REGION:177	bed nucleus of the stria terminalis, posteromedial part
3626	UNKN_REGION:1770	postsubiculum layers 1-6
3627	UNKN_REGION:1771	intramedullary thalamic area
3628	UNKN_REGION:1772	foramen caecum posterius
3629	UNKN_REGION:1773	substantia perforata posterior
3630	UNKN_REGION:1774	nucleus amygdalae basalis
3631	UNKN_REGION:1775	band of gennari
3632	UNKN_REGION:1776	sulcus temporalis inferior
3633	UNKN_REGION:1777	prerubral area
3634	UNKN_REGION:1778	ventral posterior inferior nucleus of thalamus
3635	UNKN_REGION:1779	regio hypothalamica intermedia
3636	UNKN_REGION:178	frankfurt zero  plane
3637	UNKN_REGION:1780	fasciculus longitudinalis dorsalis
3638	UNKN_REGION:1781	suprachiasmatic nucleus dorsomedial part
3639	UNKN_REGION:1782	paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part
3640	UNKN_REGION:1783	pituitary gland, intermediate lobe
3641	UNKN_REGION:1784	thalamus
3642	UNKN_REGION:1785	fila olfactoria
3643	UNKN_REGION:1786	spinal trigeminal nucleus, oral part, dorsomedial division
3644	UNKN_REGION:1787	geniculate group of the dorsal thalamus
3645	UNKN_REGION:1788	basolateral amygdaloid nucleus, anterior part
3646	UNKN_REGION:1789	medullary reticular nucleus dorsal part
3647	UNKN_REGION:179	corpus cerebelli
3648	UNKN_REGION:1790	crus 1
3649	UNKN_REGION:1791	paralimbic region
3650	UNKN_REGION:1792	olivocochlear bundle
3651	UNKN_REGION:1793	substantia medullaris temporalis - not otherwise specified
3652	UNKN_REGION:1794	nucleus geniculatus medialis magnocellularis
3653	UNKN_REGION:1795	ectorhinal area 36
3654	UNKN_REGION:1796	field ca3
3655	UNKN_REGION:1797	central insular sulcus
3656	UNKN_REGION:1798	ventral anterior-lateral complex thalamus
3657	UNKN_REGION:1799	fornix precommissuralis
3658	UNKN_REGION:18	entorhinal
3659	UNKN_REGION:180	interposed nucleus proper
3660	UNKN_REGION:1800	dorsal tegmental bundle
3661	UNKN_REGION:1801	parabrachial nucleus, waist part
3662	UNKN_REGION:1802	ventral posteromedial nucleus of the thalamus parvicellular part
3663	UNKN_REGION:1803	area peristriata of smith
3664	UNKN_REGION:1804	paleothalamus
3665	UNKN_REGION:1805	tractus corticospinalis ventralis
3666	UNKN_REGION:1806	diagonal sulcus
3667	UNKN_REGION:1807	nucleus striae olfactoriae lateralis
3668	UNKN_REGION:1808	sulcus orbitalis
3669	UNKN_REGION:1809	nucleus ventrooralis internus, superior part
3670	UNKN_REGION:181	area 48 of brodmann
3671	UNKN_REGION:1810	magnocellular part of medial dorsal nucleus
3672	UNKN_REGION:1811	corpus callosum truncus
3673	UNKN_REGION:1812	paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, medial zone
3674	UNKN_REGION:1813	nucleus amygdalae basalis, pars lateralis
3675	UNKN_REGION:1814	central lateral nucleus thalamus
3676	UNKN_REGION:1815	precommissural septum
3677	UNKN_REGION:1816	lateral geniculate body
3678	UNKN_REGION:1817	substantia alba myelenecephali
3679	UNKN_REGION:1818	medial frontal sulcus
3680	UNKN_REGION:1819	paracommissural area
3681	UNKN_REGION:182	nucleus interstitialis of posterior commissure
3682	UNKN_REGION:1820	decussatio pontis
3683	UNKN_REGION:1821	central part of facial nerve
3684	UNKN_REGION:1822	nucleus pulvinaris thalami, pars lateralis
3685	UNKN_REGION:1823	lateral septal nucleus, rostral  part
3686	UNKN_REGION:1824	lamina septi pellucidi
3687	UNKN_REGION:1825	nucleus commissura interanterodorsalis
3688	UNKN_REGION:1826	decussatio ventralis pontis
3689	UNKN_REGION:1827	corticofugal fibers
3690	UNKN_REGION:1828	marginal layer of neural tube
3691	UNKN_REGION:1829	tractus opticus
3692	UNKN_REGION:183	oval area of flechsig
3693	UNKN_REGION:1830	septal cortex
3694	UNKN_REGION:1831	nucleus parataenialis
3695	UNKN_REGION:1832	papez circuit
3696	UNKN_REGION:1833	cerebral aqueduct subcommissural organ
3697	UNKN_REGION:1834	principal pretectal nucleus
3698	UNKN_REGION:1835	preoptic area
3699	UNKN_REGION:1836	substantia nigra
3700	UNKN_REGION:1837	tractus paraventriculohypophysialis
3701	UNKN_REGION:1838	tail of caudate nucleus
3702	UNKN_REGION:1839	lateral habenular nucleus, lateral part
3703	UNKN_REGION:184	nucleus olivaris inferior accessorius dorsalis
3704	UNKN_REGION:1840	posterolateral fasciculus
3705	UNKN_REGION:1841	anterior lobe of the cerebellum
3706	UNKN_REGION:1842	motor nucleus of trigeminal nerve
3707	UNKN_REGION:1843	uncrossed lateral corticospinal tract
3708	UNKN_REGION:1844	islands of calleja, major island
3709	UNKN_REGION:1845	ventroanterior thalamic nucleus, magnocellular part
3710	UNKN_REGION:1846	tractus retroflexus
3711	UNKN_REGION:1847	lateral nucleus of thalamus
3712	UNKN_REGION:1848	gyrus brevis i
3713	UNKN_REGION:1849	parasubiculum layer 1
3714	UNKN_REGION:185	caudate nucleus
3715	UNKN_REGION:1850	anterior olfactory nucleus, dorsal part, molecular layer
3716	UNKN_REGION:1851	trigonum vagi
3717	UNKN_REGION:1852	area 32 of mauss-08
3718	UNKN_REGION:1853	parallel sulcus
3719	UNKN_REGION:1854	area cingularis intermedia
3720	UNKN_REGION:1855	internal medullary lamina thalamus
3721	UNKN_REGION:1856	dorsomedial hypothalamic nucleus, anterior part
3722	UNKN_REGION:1857	posterior periventricular nucleus of the hypothalamus
3723	UNKN_REGION:1858	nucleus incertus
3724	UNKN_REGION:1859	dura mater
3725	UNKN_REGION:186	postcentral fissure-1
3726	UNKN_REGION:1860	nucleus olivaris superior lateralis
3727	UNKN_REGION:1861	commissura colliculi superior
3728	UNKN_REGION:1862	spinal v tract
3729	UNKN_REGION:1863	pars neo-encephalica pedunculi
3730	UNKN_REGION:1864	dorsolateral division of midbrain central gray
3731	UNKN_REGION:1865	lateral occipitotemporal sulcus
3732	UNKN_REGION:1866	interpeduncular nucleus, rostral subnucleus
3733	UNKN_REGION:1867	nucleus ruber tegmenti
3734	UNKN_REGION:1868	nucleus posteroventralis oralis
3735	UNKN_REGION:1869	lateral dorsal subnucleus of midbrain central gray
3736	UNKN_REGION:187	field ca1, pyramidal layer
3737	UNKN_REGION:1870	superior cingulate gyrus
3738	UNKN_REGION:1871	corpora quadrigemina
3739	UNKN_REGION:1872	medial bundle
3740	UNKN_REGION:1873	commissures of telencephalon
3741	UNKN_REGION:1874	area 8a of walker
3742	UNKN_REGION:1875	nucleus pulvinaris superficialis
3743	UNKN_REGION:1876	interhemispheric commissure
3744	UNKN_REGION:1877	central tegmental tract of midbrain
3745	UNKN_REGION:1878	central sulcus of roland
3746	UNKN_REGION:1879	inferior occipital gyrus
3747	UNKN_REGION:188	griseum periventriculare mesencephali
3748	UNKN_REGION:1880	organum subfornicale
3749	UNKN_REGION:1881	posterior region of motor thalamus
3750	UNKN_REGION:1882	sulcus occipitalis inferior
3751	UNKN_REGION:1883	fasciculus of goll
3752	UNKN_REGION:1884	orbitofrontal fibers
3753	UNKN_REGION:1885	superior colliculus intermediate gray layer sublayer b
3754	UNKN_REGION:1886	nucleus putamen
3755	UNKN_REGION:1887	inferior temporal sulcus
3756	UNKN_REGION:1888	decussatio fibrorum medialium tecti
3757	UNKN_REGION:1889	radiatio thalamocorticalis
3758	UNKN_REGION:189	bed nuclei of the stria terminalis, anterior division, rhomboid nucleus
3759	UNKN_REGION:1890	tuberal level of hypothalamus
3760	UNKN_REGION:1891	lamina iii
3761	UNKN_REGION:1892	central lobe of the cerebellum, lobule 10
3762	UNKN_REGION:1893	area 43 of brodmann-09
3763	UNKN_REGION:1894	nucleus zentrolateralis intermedius internus
3764	UNKN_REGION:1895	middle frontal fissure
3765	UNKN_REGION:1896	spinomedullary junction
3766	UNKN_REGION:1897	field ca3, ammon's horn
3767	UNKN_REGION:1898	pyramidal tract, crossed
3768	UNKN_REGION:1899	fasciculus occipitofrontalis superior
3769	UNKN_REGION:19	sacral
3770	UNKN_REGION:190	nucleus princeps colliculi inferioris
3771	UNKN_REGION:1900	spinal nucleus of the trigeminal interpolar part
3772	UNKN_REGION:1901	area praegenualis
3773	UNKN_REGION:1902	lateral hypothalamic area, juxtaparaventricular region
3774	UNKN_REGION:1903	stratum zonale colliculi superioris
3775	UNKN_REGION:1904	spinal nucleus of the trigeminal, oral part, middle dorsomedial region, ventral zone
3776	UNKN_REGION:1905	visual radiation
3777	UNKN_REGION:1906	hyperfrontal cortex
3778	UNKN_REGION:1907	anteroventral auditory nucleus
3779	UNKN_REGION:1908	area 4  of mauss-08
3780	UNKN_REGION:1909	nucleus reuniens, caudal division, median part
3781	UNKN_REGION:191	pontomedullary junction
3782	UNKN_REGION:1910	field ca1, stratum oriens
3783	UNKN_REGION:1911	geniculate group dorsal thalamus
3784	UNKN_REGION:1912	reticulospinal tract, lateral part
3785	UNKN_REGION:1913	central tegmental tract of pons
3786	UNKN_REGION:1914	anterior paracentral gyrus
3787	UNKN_REGION:1915	medial geniculate complex dorsal part
3788	UNKN_REGION:1916	nucleus ventralis posterolateralis, pars caudalis
3789	UNKN_REGION:1917	griseum centrale mesencephali, subnucleus lateralis
3790	UNKN_REGION:1918	subcoeruleus nucleus, dorsal part
3791	UNKN_REGION:1919	bulbus
3792	UNKN_REGION:192	preoptic nuclei
3793	UNKN_REGION:1920	isthmus-2
3794	UNKN_REGION:1921	midbrain reticular nucleus magnocellular part general
3795	UNKN_REGION:1922	ependymal layer of neural tube
3796	UNKN_REGION:1923	fissura lateralis
3797	UNKN_REGION:1924	transverse frontopolar gyri
3798	UNKN_REGION:1925	area 26  of mauss-08
3799	UNKN_REGION:1926	second short gyrus
3800	UNKN_REGION:1927	eminentia teres
3801	UNKN_REGION:1928	sulcus intraparietalis
3802	UNKN_REGION:1929	plexus choroideus ventriculi lateralis
3803	UNKN_REGION:193	principal sensory trigeminal nucleus, dorsomedial part
3804	UNKN_REGION:1930	nucleus pulvinaris oralis thalami
3805	UNKN_REGION:1931	occipital region
3806	UNKN_REGION:1932	field ca1 stratum lacunosum-moleculare
3807	UNKN_REGION:1933	area 20 of brodmann-09
3808	UNKN_REGION:1934	neodentate part of dentate nucleus
3809	UNKN_REGION:1935	gyrus occipitalis medius
3810	UNKN_REGION:1936	spinal trigeminal tract of medulla
