	neuroNER_ID	neuroNER_Name
121	ABA_REGION:10711	Lobule III, granular layer
122	ABA_REGION:10712	Lobule III, Purkinje layer
123	ABA_REGION:10713	Lobule III, molecular layer
124	ABA_REGION:10714	Lobule IV, granular layer
125	ABA_REGION:10715	Lobule IV, Purkinje layer
126	ABA_REGION:10716	Lobule IV, molecular layer
127	ABA_REGION:10717	Lobule V, granular layer
128	ABA_REGION:10718	Lobule V, Purkinje layer
129	ABA_REGION:10719	Lobule V, molecular layer
130	ABA_REGION:1072	Medial geniculate complex, dorsal part
131	ABA_REGION:10720	Lobules IV-V, granular layer
132	ABA_REGION:10721	Lobules IV-V, Purkinje layer
133	ABA_REGION:10722	Lobules IV-V, molecular layer
134	ABA_REGION:10723	Declive (VI), granular layer
135	ABA_REGION:10724	Declive (VI), Purkinje layer
136	ABA_REGION:10725	Declive (VI), molecular layer
137	ABA_REGION:10726	Folium-tuber vermis (VII), granular layer
138	ABA_REGION:10727	Folium-tuber vermis (VII), Purkinje layer
139	ABA_REGION:10728	Folium-tuber vermis (VII), molecular layer
140	ABA_REGION:10729	Pyramus (VIII), granular layer
141	ABA_REGION:1073	Hemispheric regions
142	ABA_REGION:10730	Pyramus (VIII), Purkinje layer
143	ABA_REGION:10731	Pyramus (VIII), molecular layer
144	ABA_REGION:10732	Uvula (IX), granular layer
145	ABA_REGION:10733	Uvula (IX), Purkinje layer
146	ABA_REGION:10734	Uvula (IX), molecular layer
147	ABA_REGION:10735	Nodulus (X), granular layer
148	ABA_REGION:10736	Nodulus (X), Purkinje layer
149	ABA_REGION:10737	Nodulus (X), molecular layer
150	ABA_REGION:1074	Anterolateral visual area, layer 1
151	ABA_REGION:1075	Taenia tecta, ventral part, layer 2
152	ABA_REGION:1076	efferent cochleovestibular bundle
153	ABA_REGION:1077	Perireunensis nucleus
154	ABA_REGION:1078	rhinal incisure
155	ABA_REGION:1079	Medial geniculate complex, ventral part
156	ABA_REGION:108	choroid plexus
157	ABA_REGION:1080	Hippocampal region
158	ABA_REGION:1081	Infralimbic area, layer 6b
159	ABA_REGION:1082	Taenia tecta, ventral part, layer 3
160	ABA_REGION:1083	epithalamus related
161	ABA_REGION:1084	Presubiculum
162	ABA_REGION:1085	Secondary motor area, layer 6b
163	ABA_REGION:1086	Primary somatosensory area, trunk, layer 4
164	ABA_REGION:1087	precentral fissure
165	ABA_REGION:1088	Medial geniculate complex, medial part
166	ABA_REGION:1089	Hippocampal formation
167	ABA_REGION:109	nigrothalamic fibers
168	ABA_REGION:1090	Supplemental somatosensory area, layer 5
169	ABA_REGION:1091	Lobules IV-V
170	ABA_REGION:1092	external medullary lamina of the thalamus
171	ABA_REGION:1093	Pontine reticular nucleus, caudal part
172	ABA_REGION:1094	Primary somatosensory area, lower limb, layer 4
173	ABA_REGION:1095	preculminate fissure
174	ABA_REGION:1096	Anteromedial nucleus, dorsal part
175	ABA_REGION:1097	Hypothalamus
176	ABA_REGION:1098	Medullary reticular nucleus, dorsal part
177	ABA_REGION:1099	fornix system
